id,fecha,usuario,nombre,texto,likes,retweets,respuestas,vistas,es_verificado,url,hashtags,num_respuestas_descargadas
1974910464510607505,2025-10-05T18:52:01Z,luisjav44152468,JRS,#EstafaBancoPopular Botina devolución de lo Robado en #BancoPopular Chorizos devolver las #Chistorras,1,1,0,4,False,https://twitter.com/luisjav44152468/status/1974910464510607505,"EstafaBancoPopular,BancoPopular,Chistorras",0
1974832635877736505,2025-10-05T13:42:45Z,TharasiaTooth,TharasiaTooth🇪🇸,"#chistorras
https://youtu.be/VXD4T5Ozrz0?si=5n-stT_i-kd3AMFY",1,0,0,10,False,https://twitter.com/TharasiaTooth/status/1974832635877736505,chistorras,0
1974810065933668586,2025-10-05T12:13:04Z,LuisFGurpegui,L.Fernando Gurpegui,"@ferna1_diez #PedroSefuerte
#chistorras https://pbs.twimg.com/media/G2fvAouWMAA_xd3.jpg",0,0,0,3,False,https://twitter.com/LuisFGurpegui/status/1974810065933668586,"PedroSefuerte,chistorras",0
1974805252055474513,2025-10-05T11:53:56Z,JasonAdfuturum,Jason 💙,"#PsoeOrganizaciónCriminal 

#chistorras https://pbs.twimg.com/media/G2fqx0aWEAEYt_n.jpg",5,1,0,51,False,https://twitter.com/JasonAdfuturum/status/1974805252055474513,"PsoeOrganizaciónCriminal,chistorras",0
1974803231990546914,2025-10-05T11:45:55Z,JasonAdfuturum,Jason 💙,"#PsoeOrganizaciónCriminal 

#Chistorras https://pbs.twimg.com/media/G2fo-yPXUAA2U1R.jpg",1,0,0,54,False,https://twitter.com/JasonAdfuturum/status/1974803231990546914,"PsoeOrganizaciónCriminal,Chistorras",0
1974780152094871809,2025-10-05T10:14:12Z,ViejaAlVisillo7,vieja al visillo,"Tendrá el cuajó de ir al entierro, el Uno.. el presidente de gobierno de España, que opinaba esto de Vara
@PSOE @sanchezcastejon #Chistorras https://pbs.twimg.com/media/G2fORioXsAA0N7g.jpg",56,31,9,3404,False,https://twitter.com/ViejaAlVisillo7/status/1974780152094871809,Chistorras,0
1974760465827021268,2025-10-05T08:55:58Z,Ljr16015824,Ljr,#EstafaBancoPopular #Chistorras,1,1,0,14,False,https://twitter.com/Ljr16015824/status/1974760465827021268,"EstafaBancoPopular,Chistorras",0
1974760155914072465,2025-10-05T08:54:45Z,Ljr16015824,Ljr,#EstafaBancoPopular Lo mismo hicieron los políticos en el Robo a 305.000 Familias en #BancoPopular con #Chistorras y el puesto de Vicepresidente del #BCE se compran muchos Bancos por 1€ como pasó....,1,1,0,24,False,https://twitter.com/Ljr16015824/status/1974760155914072465,"EstafaBancoPopular,BancoPopular,Chistorras,BCE",0
1974758118568653181,2025-10-05T08:46:39Z,hectorg_s,HACHE,Necesito que en este país se hable más de #chistorras y menos de #Gaza,0,0,0,16,False,https://twitter.com/hectorg_s/status/1974758118568653181,"chistorras,Gaza",0
1974752671010787328,2025-10-05T08:25:00Z,Angeldeiscar,Angel de Iscar.,"@mjmonteroc @PSOE Las #Chistorras Poligonera, las #Chistorras

Ladrones 
Malversadores
Puteros 
Cocainomanos
Golpistas 
Secesionistas
FiloETARRAS,
etc….etc…

Lo tenéis todo,
Hijos de la GRANDÍSIMA PUTAAAAAAAA https://pbs.twimg.com/media/G2e7FT9XoAARua8.jpg",0,0,0,12,False,https://twitter.com/Angeldeiscar/status/1974752671010787328,"Chistorras,Chistorras",0
1974751136058863959,2025-10-05T08:18:54Z,Angeldeiscar,Angel de Iscar.,"@luistudanca Las #Chistorras Tudanca, las #Chistorras. https://pbs.twimg.com/media/G2e5sMMW8AAsFwE.jpg",0,0,0,25,False,https://twitter.com/Angeldeiscar/status/1974751136058863959,"Chistorras,Chistorras",0
1974749313306693717,2025-10-05T08:11:40Z,goblekiteppe,@goblekiteppe,#lopais  para este libelo no existe #begoña #chistorras #psoefinanciacionilegal https://elpais.com,0,0,0,4,False,https://twitter.com/goblekiteppe/status/1974749313306693717,"lopais,begoña,chistorras,psoefinanciacionilegal",0
1974724386252108013,2025-10-05T06:32:36Z,ViejaAlVisillo7,vieja al visillo,"No digo que me lo superes, pero igualamelo ... alguien con esta cara de gilipollas... empiezo yo, cabezabuque.
#Chistorras #Psoe https://pbs.twimg.com/media/G2ehXXYW8AAxdwD.jpg",7,1,1,197,False,https://twitter.com/ViejaAlVisillo7/status/1974724386252108013,"Chistorras,Psoe",0
